STATION,NAME,DATE,AWND,PGTM,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",01-01-2021,4.47,,0,,60,40,290,290,15,18.1,,,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",02-01-2021,2.24,,0.14,,57,51,230,230,10.1,13,1,,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",03-01-2021,2.91,,0,,56,49,260,250,14.1,15,1,1,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",04-01-2021,10.07,,0.36,,62,46,240,130,21.9,29.1,1,,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",05-01-2021,4.7,,0,,59,42,300,260,13,15,1,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",06-01-2021,4.7,,0.03,,59,40,90,90,15,19,1,,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",07-01-2021,5.37,,0,,59,46,120,240,13,16.1,1,1,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",08-01-2021,4.03,,0,,61,48,130,130,15,18.1,1,,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",09-01-2021,4.47,,0,,60,37,290,290,10.1,12.1,1,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",10-01-2021,4.47,,0,,62,41,300,310,15,17,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",11-01-2021,4.47,,0,,61,41,180,180,14.1,19,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",12-01-2021,2.91,,0,,62,47,140,150,8.1,10.1,,,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",13-01-2021,4.47,,0,,66,47,140,140,14.1,16.1,,,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",14-01-2021,5.14,,0,,71,47,300,310,14.1,17,1,,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",15-01-2021,3.13,,0,,67,44,300,300,8.9,10.1,1,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",16-01-2021,3.8,,0,,71,46,290,290,13,15,1,,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",17-01-2021,3.8,,0,,74,44,300,30,8.9,14.1,1,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",18-01-2021,6.71,,0,,83,51,30,40,25.9,36,,,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",19-01-2021,18.57,,0,,69,56,30,10,36,47,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",20-01-2021,4.92,,0,,68,43,310,320,12.1,14.1,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",21-01-2021,5.82,,0,,59,39,300,300,16.1,19.9,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",22-01-2021,7.83,,0.08,,57,45,290,290,21,25.9,1,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",23-01-2021,6.04,,0,,59,44,300,290,15,17,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",24-01-2021,12.3,,0.1,,56,43,290,290,28,35.1,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",25-01-2021,17,,0,,57,45,280,310,29.1,36,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",26-01-2021,16.78,,0.39,,54,34,140,140,42.9,53.9,1,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",27-01-2021,15.66,,0.53,,56,48,140,140,40,49,1,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",28-01-2021,9.4,,0.53,,57,49,160,160,21,25.9,1,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",29-01-2021,4.7,,0.26,,57,43,160,200,17,19,1,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",30-01-2021,4.25,,0,,60,46,310,130,8.9,11,,,,,
